level,exp_to_next
200,2207026470
201,2471869646
202,2768494003
203,3100713283
204,3472798876
205,3889534741
206,4356278909
207,4879032378
208,5464516263
209,6120258214
210,7344309856
211,8152183940
212,9048924173
213,10044305832
214,11149179473
215,13379015367
216,14583126750
217,15895608157
218,17326212891
219,18885572051
220,22662686461
221,24249074513
222,25946509728
223,27762765408
224,29706158986
225,35647390783
226,38142708137
227,40812697706
228,43669586545
229,46726457603
230,56071749123
231,57753901596
232,59486518643
233,61271114202
234,63109247628
235,75731097153
236,78003030067
237,80343120969
238,82753414598
239,85236017035
240,102283220442
241,105351717055
242,108512268566
243,111767636622
244,115120665720
245,138144798864
246,142289142829
247,146557817113
248,150954551626
249,155483188174
250,186579825808
251,192177220582
252,197942537199
253,203880813314
254,209997237713
255,216297154844
256,222786069489
257,229469651573
258,236353741120
259,243444353353
260,1731919984062
261,1749239183902
262,1766731575741
263,1784398891498
264,1802242880412
265,2342915744535
266,2366344901980
267,2390008350999
268,2413908434508
269,2438047518853
270,5412465491853
271,5466590146771
272,5521256048238
273,5576468608720
274,5632233294807
275,11377111255510
276,12514822381061
277,13766304619167
278,15142935081083
279,16657228589191
280,33647601750165
281,37012361925181
282,40713598117699
283,44784957929468
284,49263453722414
285,99512176519276
286,109463394171203
287,120409733588323
288,132450706947155
289,145695777641870
290,294305470836577
291,323736017920234
292,356109619712257
293,391720581683482
294,430892639851830
295,870403132500696
296,957443445750765
297,1053187790325841
298,1158506569358425
299,1737759854037637
